Catálogo

1.0.0.0	A C T I V O
1.1.0.0	Disponibilidades
1.2.0.0	Inversiones en valores
1.2.1.0	Títulos disponibles para la venta
1.2.2.0	Títulos conservados a vencimiento
1.2.3.0	Títulos recibidos en reporto
1.3.0.0	Cartera de crédito 
1.3.1.0	Cartera de crédito vigente
1.3.1.1	Créditos comerciales
1.3.1.2	Créditos al consumo
1.3.1.3	Créditos a la vivienda
1.3.2.0	Cartera de crédito vencida
1.3.2.1	Créditos comerciales
1.3.2.2	Créditos al consumo
1.3.2.3	Créditos a la vivienda
1.3.3.0	Estimación preventiva para riesgos crediticios
1.4.0.0	Otras cuentas por cobrar (neto)
1.5.0.0	Bienes adjudicados
1.6.0.0	Inmuebles, mobiliario y equipo (neto)
1.7.0.0	Inversiones permanentes en acciones
1.8.0.0	Impuestos diferidos (neto)
1.9.0.0	Otros activos
2.0.0.0	P A S I V O
2.1.0.0	Captación tradicional
2.1.2.0	Depósitos de exigibilidad inmediata
2.1.2.1	Ahorro ordinario
2.1.2.2	Ahorro de menores
2.1.3.0	Depósitos a plazo
2.1.4.0	Cuentas inactivas
2.1.5.0	Títulos de crédito emitidos
2.2.0.0	Préstamos bancarios y de otros organismos
2.2.1.0	De corto plazo
2.2.2.0	De largo plazo
2.3.0.0	Otras cuentas por pagar
2.4.0.0	Crédtos diferidos y cobros anticipados
3.0.0.0	CAPITAL CONTABLE
3.1.0.0	Capital contribuido
3.1.1.0	Capital social
3.1.2.0	Reserva Especial aportada por la Institución Fundadora
3.1.3.0	Efecto Por Incorporacion Al Regimen De Sociedades Cooperativas De Aho
3.2.0.0	Capital ganado
3.2.1.0	Fondo de Reserva
3.2.2.0	Fondo de Obra Social
3.2.3.0	Fondo de Educación Cooperativa
3.3.0.0	Resultado de ejercicios anteriores
3.4.0.0	Resultado por valuación de títulos disponibles para la venta
3.4.1.0	Exceso o insuficiencia en la actualización del capital contable
3.4.2.0	Resultado por tenencia de activos no monetarios
3.4.3.0	Por valuación de activo fijo
3.4.4.0	Por valuación de inversiones permanentes en acciones
3.5.0.0	Ajustes por obligaciones laborales al retiro
3.6.0.0	Resultado neto
4.0.0.0	Ingresos por intereses
5.0.0.0	Gastos por intereses
5.1.0.0	Estimación preventiva para riesgos crediticios
4.1.0.0	Comisiones y tarifas cobradas
5.2.0.0	Comisiones y tarifas pagadas
4.2.0.0	Ingresos (egresos) totales de la operación
5.3.0.0	Gastos de administración y promoción
4.3.0.0	Otros productos
5.4.0.0	Otros gastos
	RESULTADO NETO
