request_num,status_code,latency_ms
1,200,3.32
2,200,2.46
3,200,4.25
4,200,3.01
5,200,3.03
6,200,3.94
7,200,2.89
8,200,2.54
9,200,2.56
10,200,2.70
11,200,3.71
12,200,3.77
13,200,8.03
14,200,7.65
15,200,3.71
16,200,4.12
17,200,3.81
18,200,10.05
19,200,2.57
20,200,2.49
21,200,4.27
22,200,3.02
23,200,3.16
24,200,4.25
25,200,5.04
26,200,3.52
27,200,2.90
28,200,2.65
29,200,2.46
30,200,2.47
31,200,4.05
32,200,3.84
33,200,3.80
34,200,4.44
35,200,5.74
36,200,2.92
37,200,2.91
38,200,2.25
39,200,3.72
40,200,10.50
41,200,1.85
42,200,3.03
43,200,14.09
44,200,2.96
45,200,4.93
46,200,2.78
47,200,2.77
48,200,2.92
49,200,2.52
50,200,2.34
51,200,9.01
52,200,8.24
53,200,6.73
54,200,4.62
55,200,7.79
56,200,6.10
57,200,4.69
58,200,5.54
59,200,3.95
60,200,224.83
61,200,13.06
62,200,2.52
63,200,36.31
64,200,15.28
65,200,11.17
66,200,5.50
67,200,15.59
68,200,63.44
69,200,3.98
70,200,13.13
71,200,11.35
72,200,8.03
73,200,5.15
74,200,4.62
75,200,5.41
76,200,4.26
77,200,6.10
78,200,4.96
79,200,6.10
80,200,10.07
81,200,3.57
82,200,4.42
83,200,5.32
84,200,4.54
85,200,17.05
86,200,16.56
87,200,3.75
88,200,20.41
89,200,5.85
90,200,33.96
91,200,3.15
92,200,4.41
93,200,4.46
94,200,4.76
95,200,4.64
96,200,6.64
97,200,4.45
98,200,3.54
99,200,4.45
100,200,8.23
101,200,3.93
102,200,4.17
103,200,6.00
104,200,4.73
105,200,7.75
106,200,4.76
107,200,2.70
108,200,9.71
109,200,5.94
110,200,4.51
111,200,5.11
112,200,6.14
113,200,7.79
114,200,6.04
115,200,4.40
116,200,4.64
117,200,4.14
118,200,6.04
119,200,3.00
120,200,4.47
