import time: self [us] | cumulative | imported package
import time:       478 |        478 |   _io
import time:       126 |        126 |   marshal
import time:      1175 |       1175 |   posix
import time:      2367 |       4145 | _frozen_importlib_external
import time:      9275 |       9275 |   time
import time:      1155 |      10429 | zipimport
import time:      1051 |       1051 |     _codecs
import time:      2645 |       3695 |   codecs
import time:      2634 |       2634 |   encodings.aliases
import time:      3090 |       9418 | encodings
import time:      2224 |       2224 | encodings.utf_8
import time:       273 |        273 | _signal
import time:       172 |        172 |     _abc
import time:      2502 |       2673 |   abc
import time:      2630 |       5302 | io
import time:      1155 |       1155 |       _stat
import time:      3655 |       4810 |     stat
import time:     57553 |      57553 |     _collections_abc
import time:     25169 |      25169 |       genericpath
import time:     19220 |      44389 |     posixpath
import time:      3615 |     110366 |   os
import time:     23423 |      23423 |   _sitebuiltins
import time:      4128 |       4128 |   _distutils_hack
import time:       274 |        274 |   sitecustomize
import time:     28173 |     166362 | site
import time:       939 |        939 |   fastapi_modulo
import time:      4240 |       4240 |       types
import time:      3475 |       7714 |     enum
import time:       231 |        231 |       _sre
import time:      3570 |       3570 |         sre_constants
import time:      9127 |      12696 |       sre_parse
import time:      1549 |      14476 |     sre_compile
import time:       328 |        328 |         itertools
import time:       950 |        950 |         keyword
import time:       383 |        383 |           _operator
import time:      3214 |       3597 |         operator
import time:      1181 |       1181 |         reprlib
import time:       239 |        239 |         _collections
import time:      5745 |      12038 |       collections
import time:       197 |        197 |       _functools
import time:      2175 |      14408 |     functools
import time:       198 |        198 |     _locale
import time:      3642 |       3642 |     copyreg
import time:      3328 |      43763 |   re
import time:      1122 |       1122 |         _json
import time:      1638 |       2759 |       json.scanner
import time:      2515 |       5274 |     json.decoder
import time:      9763 |       9763 |     json.encoder
import time:      6639 |      21676 |   json
import time:      1842 |       1842 |       _struct
import time:      6405 |       8246 |     struct
import time:      3140 |       3140 |     binascii
import time:      1954 |      13340 |   base64
import time:      2625 |       2625 |         math
import time:      1581 |       1581 |         _datetime
import time:     11857 |      16061 |       datetime
import time:      4333 |       4333 |       collections.abc
import time:      5304 |       5304 |       _sqlite3
import time:     17814 |      43510 |     sqlite3.dbapi2
import time:    936940 |     980450 |   sqlite3
import time:      3560 |       3560 |     contextlib
import time:      8581 |       8581 |     fnmatch
import time:     10326 |      22467 |   glob
import time:    266036 |     266036 |       warnings
import time:     13296 |      13296 |       _hashlib
import time:      2221 |       2221 |         _blake2
import time:     21605 |      23825 |       hashlib
import time:      8107 |     311263 |     hmac
import time:      1159 |       1159 |         _bisect
import time:     11337 |      12496 |       bisect
import time:      2005 |       2005 |       _random
import time:      1913 |       1913 |       _sha512
import time:      2661 |      19073 |     random
import time:      5112 |     335447 |   secrets
import time:      1499 |       1499 |   unicodedata
import time:       255 |        255 |     errno
import time:      1338 |       1338 |     zlib
import time:      3914 |       3914 |       _compression
import time:      1347 |       1347 |       _bz2
import time:     12659 |      17918 |     bz2
import time:      1552 |       1552 |       _lzma
import time:      8528 |      10080 |     lzma
import time:      5284 |      34874 |   shutil
import time:      3746 |       3746 |   shlex
import time:    137451 |     137451 |     signal
import time:     23073 |      23073 |       _weakrefset
import time:     12904 |      35976 |     threading
import time:      1759 |       1759 |     fcntl
import time:      1094 |       1094 |     msvcrt
import time:     10763 |      10763 |     _posixsubprocess
import time:    169453 |     169453 |     select
import time:     19882 |      19882 |     selectors
import time:    203646 |     580020 |   subprocess
import time:       485 |        485 |       _winapi
import time:      5899 |       5899 |       nt
import time:      3110 |       3110 |       nt
import time:     42440 |      42440 |       nt
import time:       592 |        592 |       nt
import time:     23206 |      75729 |     ntpath
import time:     37927 |      37927 |       urllib
import time:     33318 |      71245 |     urllib.parse
import time:     16451 |     163425 |   pathlib
import time:    176847 |     176847 |   typing
import time:      7469 |       7469 |     importlib
import time:      3180 |       3180 |         __future__
import time:      6595 |       6595 |                   _ast
import time:     17469 |      24063 |                 ast
import time:      1246 |       1246 |                     _opcode
import time:    165695 |     166941 |                   opcode
import time:      6742 |     173682 |                 dis
import time:      3273 |       3273 |                 importlib.machinery
import time:      5654 |       5654 |                     token
import time:     14135 |      19789 |                   tokenize
import time:      3106 |      22895 |                 linecache
import time:     20508 |     244420 |               inspect
import time:      3455 |       3455 |               _socket
import time:     16096 |     263970 |             typing_extensions
import time:      5459 |       5459 |             pydantic_core._pydantic_core
import time:      3529 |       3529 |                   numbers
import time:      5355 |       8884 |                 _decimal
import time:      1518 |      10401 |               decimal
import time:      4111 |       4111 |                       concurrent
import time:      2169 |       2169 |                           traceback
import time:      1856 |       1856 |                           weakref
import time:       159 |        159 |                             _string
import time:    161575 |     161733 |                           string
import time:       174 |        174 |                           atexit
import time:     38735 |     204666 |                         logging
import time:      3620 |     208286 |                       concurrent.futures._base
import time:     15690 |     228086 |                     concurrent.futures
import time:      1406 |       1406 |                       _heapq
import time:      1769 |       3174 |                     heapq
import time:      7971 |       7971 |                       array
import time:      8522 |      16492 |                     socket
import time:      4170 |       4170 |                       _ssl
import time:     17448 |      21618 |                     ssl
import time:      7021 |       7021 |                     asyncio.constants
import time:      2168 |       2168 |                         asyncio.format_helpers
import time:      1588 |       3756 |                       asyncio.base_futures
import time:    317756 |     317756 |                       asyncio.log
import time:      2435 |     323946 |                     asyncio.coroutines
import time:      2817 |       2817 |                         _contextvars
import time:     19232 |      22048 |                       contextvars
import time:     39280 |      39280 |                         asyncio.exceptions
import time:      6724 |       6724 |                         asyncio.base_tasks
import time:      4415 |      50419 |                       _asyncio
import time:     28438 |     100904 |                     asyncio.events
import time:      1467 |       1467 |                     asyncio.futures
import time:      1111 |       1111 |                     asyncio.protocols
import time:      2341 |       2341 |                       asyncio.transports
import time:      3150 |       5490 |                     asyncio.sslproto
import time:       936 |        936 |                         asyncio.mixins
import time:      1749 |       1749 |                         asyncio.tasks
import time:      3380 |       6064 |                       asyncio.locks
import time:      1796 |       7860 |                     asyncio.staggered
import time:      1601 |       1601 |                     asyncio.trsock
import time:     23596 |     742360 |                   asyncio.base_events
import time:      6295 |       6295 |                   asyncio.runners
import time:      1449 |       1449 |                   asyncio.queues
import time:      4628 |       4628 |                   asyncio.streams
import time:      3293 |       3293 |                   asyncio.subprocess
import time:      1948 |       1948 |                   asyncio.threads
import time:      2675 |       2675 |                     asyncio.base_subprocess
import time:      2333 |       2333 |                     asyncio.selector_events
import time:      9207 |      14215 |                   asyncio.unix_events
import time:      2260 |     776445 |                 asyncio
import time:        98 |     776543 |               asyncio.coroutines
import time:    337089 |    1124032 |             pydantic_core.core_schema
import time:      6680 |    1400140 |           pydantic_core
import time:      2536 |    1402675 |         pydantic.version
import time:      3224 |    1409078 |       pydantic.warnings
import time:     18095 |    1427173 |     pydantic._migration
import time:      1362 |       1362 |         typing_inspection
import time:      1498 |       1498 |                 org
import time:       105 |       1603 |               org.python
import time:        84 |       1687 |             org.python.core
import time:      2979 |       4666 |           copy
import time:      3140 |       7805 |         dataclasses
import time:      9895 |       9895 |           textwrap
import time:    290850 |     300745 |         typing_inspection.typing_objects
import time:    126847 |     436757 |       typing_inspection.introspection
import time:     17765 |      17765 |       pydantic._internal
import time:      2333 |       2333 |           pydantic._internal._namespace_utils
import time:     11975 |      14307 |         pydantic._internal._typing_extra
import time:      3779 |      18086 |       pydantic._internal._repr
import time:      2286 |     474892 |     pydantic.errors
import time:      3494 |    1913027 |   pydantic
import time:      7983 |       7983 |       pydantic._internal._internal_dataclass
import time:      6462 |      14445 |     pydantic.aliases
import time:     49324 |      49324 |     pydantic.config
import time:     36131 |      99898 |   pydantic._internal._config
import time:     20675 |      20675 |     pydantic._internal._core_utils
import time:      1579 |       1579 |       pydantic._internal._import_utils
import time:     11255 |      12833 |     pydantic._internal._utils
import time:    357638 |     391145 |   pydantic._internal._decorators
import time:     19550 |      19550 |       pydantic._internal._forward_ref
import time:      3284 |      22834 |     pydantic._internal._generics
import time:      1555 |       1555 |     pydantic._internal._docs_extraction
import time:     21527 |      45915 |   pydantic._internal._fields
import time:      9061 |       9061 |       pydantic.plugin
import time:      3315 |      12375 |     pydantic.plugin._schema_validator
import time:     34539 |      46914 |   pydantic._internal._mock_val_ser
import time:      4139 |       4139 |       fractions
import time:      8067 |       8067 |       ipaddress
import time:      1484 |       1484 |         _uuid
import time:      3624 |       5107 |       uuid
import time:      3781 |       3781 |           sysconfig
import time:      2105 |       2105 |           _sysconfigdata__darwin_darwin
import time:      1014 |       1014 |           _osx_support
import time:      6824 |      13722 |         zoneinfo._tzpath
import time:       999 |        999 |         zoneinfo._common
import time:      1318 |       1318 |         _zoneinfo
import time:      1400 |      17438 |       zoneinfo
import time:      1009 |       1009 |       pydantic.annotated_handlers
import time:     17402 |      17402 |       pydantic.functional_validators
import time:      2917 |       2917 |         pydantic._internal._core_metadata
import time:      1353 |       1353 |         pydantic._internal._schema_generation_shared
import time:    384170 |     388439 |       pydantic.json_schema
import time:     68742 |      68742 |       pydantic._internal._discriminated_union
import time:     46818 |      46818 |       pydantic._internal._known_annotated_metadata
import time:     47340 |      47340 |       pydantic._internal._schema_gather
import time:     14197 |     618695 |     pydantic._internal._generate_schema
import time:      1762 |       1762 |     pydantic._internal._signature
import time:     14560 |     635016 |   pydantic._internal._model_construction
import time:     85494 |      85494 |   annotated_types
import time:      2429 |       2429 |   pydantic._internal._validators
import time:    143277 |     143277 |   pydantic.types
import time:      3728 |       3728 |       tempfile
import time:     22865 |      22865 |       dotenv.parser
import time:      2654 |       2654 |       dotenv.variables
import time:     32254 |      61500 |     dotenv.main
import time:     13911 |      75410 |   dotenv
import time:      2459 |       2459 |     starlette
import time:      3484 |       3484 |     starlette.status
import time:      1667 |       1667 |         annotated_doc.main
import time:      1550 |       3217 |       annotated_doc
import time:      2201 |       2201 |           email
import time:      1262 |       1262 |           uu
import time:      1120 |       1120 |           quopri
import time:      6559 |       6559 |                 locale
